pdb_id,affinity
3nq3,3.78
4b5w,3.33
3uxl,5.57
6eog,5.8
6p89,5.01
1qbs,9.47
4u1b,5.31
4avj,7.44
3acx,5.7
5fut,6.45
5xo7,6.36
2dri,6.89
4q4q,5.79
4bt5,2.76
2jdu,6.72
6p87,4.6
4wn5,7.41
3su1,6.68
5fyx,4.16
5ko5,4.57
6hke,7.68
1b8y,7.85
6b4u,7.68
5ad1,7.24
4bj8,8.29
6gl8,8.61
3zhx,6.68
5zyg,5.21
1ndw,5.23
5lz7,6.28
1lee,7.74
4x50,7.75
4r4c,5.54
5hwv,5.07
4ndu,2.74
2i80,5.4
2o4j,10.1
5ult,10.85
3nhi,8.43
6t1m,5.21
4epy,3.47
5nau,7.52
3t2q,3.66
3e5u,5.85
3nu5,8.35
5j3l,4.8
1ajq,4.31
5ka7,4.35
1nl9,5.96
1ogz,5.85
1msn,9.09
1ajp,2.23
2doo,7.17
4kz3,2.77
5dgu,11.35
3zi8,5.66
4ynb,10.37
1srg,5.3
3lea,9.1
3o9p,6.52
2fzk,3.6
2q8z,5.68
6jbb,5.99
5cp5,5.91
1aid,4.82
4kwg,6.0
5eqy,8.0
2qdt,5.19
3pb7,5.74
1yvm,6.4
4b6o,7.0
3jup,5.58
3n7o,7.14
2xbw,8.0
2jf4,8.15
4cr5,4.15
1n51,4.85
2jdp,6.6
1f8d,3.4
1olx,4.33
6q4e,3.46
3ljg,7.73
4bt4,3.34
3zi0,7.4
1r9l,5.4
4fxq,5.77
6g29,4.33
4y3j,2.17
2vzr,4.28
3a6t,7.28
5hvt,7.26
3rt8,6.35
4yo8,10.52
4zow,4.12
3tcg,5.87
3pcj,7.22
2clh,4.06
1km3,4.91
4k55,5.51
2f8g,8.7
3gi5,11.22
6gvz,6.4
1hee,5.34
1ecq,3.0
3s45,8.49
2wyj,9.0
4u43,4.32
4hw3,6.49
4f6u,6.15
2yaz,5.14
1pzi,4.22
5fbi,2.8
2jg0,7.82
4qfp,4.23
3t09,3.8
5dxt,9.7
1jmg,6.07
2v2q,4.15
4i8w,10.9
2wyg,8.7
3wjw,3.87
4l51,3.0
3wz7,5.74
1bju,4.8
5o2d,5.68
5mrm,5.03
3pce,2.0
6d1h,3.72
5nvx,7.05
1fzq,7.62
3mv0,3.85
3nu4,8.82
6arn,5.19
6jap,4.8
4bps,2.99
6o5t,6.5
4aia,3.66
4cjp,3.32
5u6j,7.64
4bb9,6.0
4pb2,4.8
5btx,3.55
5zni,4.39
2b4l,4.77
1phw,3.3
3zq9,6.02
2y81,8.7
4css,8.46
5fs5,6.69
4u6c,5.0
5yh8,6.78
6fnq,4.59
6f9g,5.7
5fnu,8.89
1x39,9.22
6jay,5.7
1a9q,6.17
4bs0,5.7
5igm,7.38
3jrx,9.0
3lq2,5.22
2vl4,6.01
4av4,7.03
6dy7,4.18
2zz2,4.54
1u1w,5.85
6k04,8.04
3ps1,10.17
2hah,8.0
1x8r,6.12
3pck,6.7
4tkh,5.74
4m0f,8.77
1uwf,6.82
6qpl,7.04
5m17,3.66
5zg3,7.21
4ufi,6.2
3v2n,6.1
3f37,2.62
5nvw,6.77
1hlk,5.0
5h9r,6.08
4u71,5.22
3f80,4.22
2psu,7.62
3rv8,4.92
6ncn,3.05
4zei,5.88
2qwd,4.85
3rlb,9.92
1f73,2.39
6dil,8.12
5e2o,8.7
3vf7,9.1
6n3w,5.81
4ggz,10.18
5upj,7.12
1xgi,4.85
4n7u,6.29
3o84,7.24
2whp,4.0
6r1d,5.4
6cn5,7.7
1hmt,5.79
4ljh,4.71
3fed,7.46
5w44,6.44
4ly9,8.15
3sue,9.08
5oh4,4.55
6g27,3.14
3su0,6.79
3l0v,7.64
1px4,3.23
5u0z,6.19
6i13,5.12
4cst,8.89
1x38,8.77
6f92,6.4
3p3t,7.24
5i2f,6.49
6ayr,8.39
3suf,7.56
1g74,6.52
4kwo,6.45
4tpw,4.69
1nja,6.31
4i74,6.72
4xaq,7.14
6d5j,6.34
4bqs,4.21
2jfz,5.24
6euw,7.77
2y8c,6.4
3d52,3.28
6jbe,4.7
2qi7,10.21
2i19,7.8
1ws1,9.55
6g24,2.77
2ya6,5.7
5jxq,8.15
3su3,9.13
2vnp,9.92
6qlq,4.51
1rnm,3.07
2nsj,4.79
3ekp,8.89
3f19,7.19
5zg1,7.72
2hzl,6.57
3f8c,7.68
2pwg,4.82
